material_id	color	origin	check
infinity	#F5E9C8	avaritia	source item reviewed
insanium	#7100B2	mysticalagradditions	source item reviewed
invar	#D1CDB9	c	project palette reviewed
iridium	#EBEBFF	c	project palette reviewed
iron	#CACACA	minecraft	1.12 upstream exact
ironbrand	#BA6749	forgeweave	Track B palette sync
ironwood	#8A9B5E	twilightforest	source item reviewed
ivory_psimetal	#F5F0E1	psi	source item reviewed
knightmetal	#7A8FA6	twilightforest	source item reviewed
knightslime	#F18FF0	forgeweave	1.12 upstream exact
lead	#4D4968	c	1.12 upstream exact
leaf	#1D730C	minecraft	1.12 upstream exact
ludicrite	#AC48E0	bigreactors	source item reviewed
magmaslime	#FF960D	forgeweave	1.12 upstream exact
manyullyn	#A15CF8	forgeweave	1.12 upstream exact
mendalloy	#87D780	forgeweave	Track B palette sync
mendstone	#E2B288	forgeweave	Track B palette sync
murkiron	#206553	forgeweave	Track B palette sync
naga_scale	#5C7A3D	twilightforest	source item reviewed
nahuatl	#3B2754	forgeweave	project palette reviewed
necrotic_bone	#4D4D4D	forgeweave	project palette reviewed
netherite	#4A3B47	minecraft	source item reviewed
netherrack	#B84F4F	minecraft	1.12 upstream exact
nickel	#C7C2AC	c	project palette reviewed
nightshale	#394393	forgeweave	Track B palette sync
niotic_crystal	#00A4BD	powah	source item reviewed
nitro_crystal	#E63946	powah	source item reviewed
obsidian	#601CC4	minecraft	1.12 upstream exact
osgloglas	#638D76	mekanism	Track B palette sync
osmiridium	#C0A4D5	mekanism	Track B palette sync
osmium	#5764DB	c	project palette reviewed
palis_crystal	#3B6FC2	actuallyadditions	source item reviewed
paper	#FFFFFF	minecraft	1.12 upstream exact
pig_iron	#EF9E9B	forgeweave	1.12 upstream exact
pink_slime	#D99BD9	industrialforegoing	source item reviewed
platinum	#E5E5E5	c	project palette reviewed
prismarine	#7EDEBC	minecraft	1.12 upstream exact
prosperity	#84A2A2	mysticalagriculture	source item reviewed
prudentium	#00AD1A	mysticalagriculture	source item reviewed
psigem	#9574D5	psi	source item reviewed
psimetal	#9EACEB	psi	source item reviewed
pulsating_alloy	#43CBB0	enderio	source item reviewed
quakestone	#7A9B44	forgeweave	Track B palette sync
quartz_enriched_iron	#CDCCCA	refinedstorage	source item reviewed
queens_slime	#68C593	forgeweave	project palette reviewed
red_matter	#B71B1B	projecte	source item reviewed
redstone_alloy	#C8352B	enderio	source item reviewed
reed	#AADB74	minecraft	1.12 upstream exact
refined_glowstone	#F9E75B	mekanism	source item reviewed
refined_obsidian	#2E1743	mekanism	source item reviewed
resonite	#00B5B0	forgeweave	Track B palette sync
restonia_crystal	#C23B3B	actuallyadditions	source item reviewed
riftalloy	#A04C9A	forgeweave	Track B palette sync
rose_gold	#B76E79	forgeweave	project palette reviewed
seared_stone	#4F4A47	forgeweave	project palette reviewed
shardline	#ADE5FF	forgeweave	Track B palette sync
silicon	#4A4A4A	c	project palette reviewed
silver	#D1ECF6	c	1.12 upstream exact
skipalloy	#76D9D3	forgeweave	Track B palette sync
sky_stone	#4A4A52	ae2	source item reviewed
slime	#82C873	forgeweave	1.12 upstream exact
slimeleaf_blue	#74C8C7	forgeweave	1.12 upstream exact
slimeleaf_orange	#FF960D	forgeweave	1.12 upstream exact
slimeleaf_purple	#C873C8	forgeweave	1.12 upstream exact
slimevine_blue	#74C8C7	forgeweave	1.12 upstream exact
slimevine_purple	#C873C8	forgeweave	1.12 upstream exact
slimewood	#82C873	forgeweave	project palette reviewed
soularium	#A88863	enderio	source item reviewed
soulium	#8C563C	mysticalagriculture	source item reviewed
spirit_attuned_gem	#7E5BA6	occultism	source item reviewed
spirited_crystal	#00BD00	powah	source item reviewed
sponge	#CACC4E	minecraft	1.12 upstream exact
starfall_stone	#A0C4F8	forgeweave	Track B palette sync
starweld	#2832D2	draconicevolution	Track B palette sync
steel	#A7A7A7	forgeweave	1.12 upstream exact
steeleaf	#4E7A3D	twilightforest	source item reviewed
stone	#999999	minecraft	1.12 upstream exact
stormalloy	#706DA4	forgeweave	Track B palette sync
string	#EEEEEE	minecraft	1.12 upstream exact
sunsteel	#DED26D	forgeweave	Track B palette sync
supremium	#D30000	mysticalagriculture	source item reviewed
tertium	#D84800	mysticalagriculture	source item reviewed
tideiron	#007F98	forgeweave	Track B palette sync
tin	#D4D4D4	c	project palette reviewed
titanium	#8A8F92	c	project palette reviewed
troll_leather_forest	#4A5C3A	iceandfire	source item reviewed
troll_leather_frost	#A8C4D6	iceandfire	source item reviewed
troll_leather_mountain	#7A6B5C	iceandfire	source item reviewed
truesteel	#DCFFFF	forgeweave	Track B palette sync
tungsten	#545454	c	project palette reviewed
tyrian_steel	#B01080	silentgear	source item reviewed
unobtainium	#8C36C8	allthemodium	source item reviewed
unobtainium_allthemodium_alloy	#B75A75	allthemodium	source item reviewed
unobtainium_vibranium_alloy	#367E9A	allthemodium	source item reviewed
uraninite	#7FA83B	c	project palette reviewed
uranium	#A8B84B	c	project palette reviewed
vibranium	#18A878	allthemodium	source item reviewed
vibranium_allthemodium_alloy	#8CA65A	allthemodium	source item reviewed
vibrant_alloy	#D6F079	enderio	source item reviewed
vine	#40A10F	minecraft	1.12 upstream exact
void_crystal	#241933	actuallyadditions	source item reviewed
voidglass	#4A1951	forgeweave	Track B palette sync
voidweld	#8A2BE2	draconicevolution	Track B palette sync
voltcinder	#00C9F2	forgeweave	Track B palette sync
warspar	#A0163A	forgeweave	Track B palette sync
wood	#8E661B	minecraft	1.12 upstream exact
wyvern	#75428D	draconicevolution	source item reviewed
zanite	#7A36E0	aether	source item reviewed
